,TRBC Economic Sector Name
FANG.OQ,Energy
WRB.N,Financials
AXP.N,Financials
CLX.N,Consumer Non-Cyclicals
DOV.N,Industrials
MTB.N,Financials
FDX.N,Industrials
TROW.OQ,Financials
DRE.N,Real Estate
JKHY.OQ,Technology
O.N,Real Estate
MLM.N,Basic Materials
PKI.N,Healthcare
TWTR.N,Technology
L.N,Financials
QCOM.OQ,Technology
PENN.OQ,Consumer Cyclicals
IPG.N,Consumer Cyclicals
PHM.N,Consumer Cyclicals
ANSS.OQ,Technology
PBCT.OQ,Financials
ULTA.OQ,Consumer Cyclicals
KO.N,Consumer Non-Cyclicals
FISV.OQ,Industrials
CSCO.OQ,Technology
WLTW.OQ,Financials
ANET.N,Technology
ES.N,Utilities
CTAS.OQ,Industrials
GPN.N,Industrials
RSG.N,Industrials
MCK.N,Consumer Non-Cyclicals
HLT.N,Consumer Cyclicals
NFLX.OQ,Technology
RF.N,Financials
WMT.N,Consumer Non-Cyclicals
AMGN.OQ,Healthcare
KIM.N,Real Estate
PXD.N,Energy
DG.N,Consumer Cyclicals
XRAY.OQ,Healthcare
EQR.N,Real Estate
URI.N,Industrials
TDG.N,Industrials
CNC.N,Healthcare
NKE.N,Consumer Cyclicals
AES.N,Utilities
ANTM.N,Healthcare
GWW.N,Industrials
K.N,Consumer Non-Cyclicals
GOOGL.OQ,Technology
GM.N,Consumer Cyclicals
CCI.N,Real Estate
COF.N,Financials
ROP.N,Technology
C.N,Financials
ODFL.OQ,Industrials
LEG.N,Consumer Cyclicals
A.N,Healthcare
GS.N,Financials
MET.N,Financials
WYNN.OQ,Consumer Cyclicals
PSA.N,Real Estate
MRNA.OQ,Healthcare
OGN.N,Healthcare
NLSN.N,Consumer Cyclicals
BK.N,Financials
FAST.OQ,Industrials
LDOS.N,Technology
ORLY.OQ,Consumer Cyclicals
CSX.OQ,Industrials
CFG.N,Financials
NI.N,Utilities
MO.N,Consumer Non-Cyclicals
DD.N,Basic Materials
AEP.OQ,Utilities
HOLX.OQ,Healthcare
BBY.N,Consumer Cyclicals
LHX.N,Industrials
APA.OQ,Energy
IFF.N,Consumer Non-Cyclicals
STT.N,Financials
JCI.N,Industrials
KSU.N,Industrials
FE.N,Utilities
PNC.N,Financials
VZ.N,Technology
NEM.N,Basic Materials
ROL.N,Industrials
KEY.N,Financials
GIS.N,Consumer Non-Cyclicals
CMCSA.OQ,Consumer Cyclicals
PFE.N,Healthcare
